name;last_date;level
Semiconductor physics (20 Sep);2023-09-26;0.17
Semiconductor physics (27 Sep);2023-09-28;0.1
Semiconductor physics (04 Oct);2023-10-04;0.0
Semiconductor physics (11 Oct);2023-10-11;0.0
Semiconductor physics (18 Oct);2023-10-18;0.0
Semiconductor physics (25 Oct);2023-10-25;0.0
Semiconductor physics (01 Nov);2023-11-01;0.0
Semiconductor physics (08 Nov);2023-11-08;0.0
Semiconductor physics (15 Nov);2023-11-15;0.0
Semiconductor physics (22 Nov);2023-11-22;0.0
Semiconductor physics (29 Nov);2023-11-29;0.0
Semiconductor physics (06 Dec);2023-12-06;0.0
Semiconductor physics (13 Dec);2023-12-13;0.0
ADA (20 Sep);2023-09-26;0.17
ADA (27 Sep);2023-09-28;0.1
ADA (04 Oct);2023-10-04;0.0
ADA (11 Oct);2023-10-11;0.0
ADA (18 Oct);2023-10-18;0.0
ADA (25 Oct);2023-10-25;0.0
ADA (01 Nov);2023-11-01;0.0
ADA (08 Nov);2023-11-08;0.0
ADA (15 Nov);2023-11-15;0.0
ADA (22 Nov);2023-11-22;0.0
ADA (29 Nov);2023-11-29;0.0
ADA (06 Dec);2023-12-06;0.0
ADA (13 Dec);2023-12-13;0.0
Quantum computing (21 Sep);2023-09-26;0.18
Quantum computing (28 Sep);2023-09-28;0.0
Quantum computing (05 Oct);2023-10-05;0.0
Quantum computing (12 Oct);2023-10-12;0.0
Quantum computing (19 Oct);2023-10-19;0.0
Quantum computing (26 Oct);2023-10-26;0.0
Quantum computing (02 Nov);2023-11-02;0.0
Quantum computing (09 Nov);2023-11-09;0.0
Quantum computing (16 Nov);2023-11-16;0.0
Quantum computing (23 Nov);2023-11-23;0.0
Quantum computing (30 Nov);2023-11-30;0.0
Quantum computing (07 Dec);2023-12-07;0.0
Quantum computing (14 Dec);2023-12-14;0.0
Particle accelerators (21 Sep);2023-09-26;0.18
Particle accelerators (28 Sep);2023-09-28;0.0
Particle accelerators (05 Oct);2023-10-05;0.0
Particle accelerators (12 Oct);2023-10-12;0.0
Particle accelerators (19 Oct);2023-10-19;0.0
Particle accelerators (26 Oct);2023-10-26;0.0
Particle accelerators (02 Nov);2023-11-02;0.0
Particle accelerators (09 Nov);2023-11-09;0.0
Particle accelerators (16 Nov);2023-11-16;0.0
Particle accelerators (23 Nov);2023-11-23;0.0
Particle accelerators (30 Nov);2023-11-30;0.0
Particle accelerators (07 Dec);2023-12-07;0.0
Particle accelerators (14 Dec);2023-12-14;0.0
Nanoscience (21 Sep);2023-09-26;0.18
Nanoscience (28 Sep);2023-09-28;0.0
Nanoscience (05 Oct);2023-10-05;0.0
Nanoscience (12 Oct);2023-10-12;0.0
Nanoscience (19 Oct);2023-10-19;0.0
Nanoscience (26 Oct);2023-10-26;0.0
Nanoscience (02 Nov);2023-11-02;0.0
Nanoscience (09 Nov);2023-11-09;0.0
Nanoscience (16 Nov);2023-11-16;0.0
Nanoscience (23 Nov);2023-11-23;0.0
Nanoscience (30 Nov);2023-11-30;0.0
Nanoscience (07 Dec);2023-12-07;0.0
Nanoscience (14 Dec);2023-12-14;0.0
Experimental methods (22 Sep);2023-09-26;0.19
Experimental methods (29 Sep);2023-09-29;0.0
Experimental methods (06 Oct);2023-10-06;0.0
Experimental methods (13 Oct);2023-10-13;0.0
Experimental methods (20 Oct);2023-10-20;0.0
Experimental methods (27 Oct);2023-10-27;0.0
Experimental methods (03 Nov);2023-11-03;0.0
Experimental methods (10 Nov);2023-11-10;0.0
Experimental methods (17 Nov);2023-11-17;0.0
Experimental methods (24 Nov);2023-11-24;0.0
Experimental methods (01 Dec);2023-12-01;0.0
Experimental methods (08 Dec);2023-12-08;0.0
Experimental methods (15 Dec);2023-12-15;0.0
Nuclear interaction (25 Sep);2023-09-28;0.2
Nuclear interaction (02 Oct);2023-10-02;0.0
Nuclear interaction (09 Oct);2023-10-09;0.0
Nuclear interaction (16 Oct);2023-10-18;0.0
Nuclear interaction (23 Oct);2023-10-23;0.0
Nuclear interaction (30 Oct);2023-10-30;0.0
Nuclear interaction (06 Nov);2023-11-06;0.0
Nuclear interaction (13 Nov);2023-11-13;0.0
Nuclear interaction (20 Nov);2023-11-20;0.0
Nuclear interaction (27 Nov);2023-11-27;0.0
Nuclear interaction (04 Dec);2023-12-04;0.0
Nuclear interaction (11 Dec);2023-12-11;0.0
Nuclear interaction (18 Dec);2023-12-18;0.0
Astrophysics (26 Sep);2023-09-27;0.1
Astrophysics (29 Sep);2023-09-29;0.0
Astrophysics (06 Oct);2023-10-06;0.0
Astrophysics (17 Oct);2023-10-17;0.0
Astrophysics (20 Oct);2023-10-20;0.0
Astrophysics (27 Oct);2023-10-27;0.0
Astrophysics (03 Nov);2023-11-03;0.0
Astrophysics (10 Nov);2023-11-10;0.0
Astrophysics (17 Nov);2023-11-17;0.0
Astrophysics (24 Nov);2023-11-24;0.0
Astrophysics (01 Dec);2023-12-01;0.0
Astrophysics (08 Dec);2023-12-08;0.0
Astrophysics (15 Dec);2023-12-15;0.0
